COD_CLI;NRO_ZON;APNBR_CLI;DOM_PART_CLI;EST_CLI;CARACT_ZON
'190';'22';'EL CABURE - SANTERIA';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'78';'18';'EL CAFETO CONFITERIA';'CASEROS';'ACTIVO';'9 DE JULIO Y AFINES'
'198';'11';'EL CIRCULO - PIZZERIA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'21';'10';'EL CORDOBES';'CENTRO';'ACTIVO';'X CENTRO'
'147';'17';'EL POPULAR - CONFITERIA';'ALBERDI';'ACTIVO';'ALBERDI'
'165';'22';'EL TIBURON - AGENCIA';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'20';'10';'EL TRIANGULO';'CENTRO';'ACTIVO';'X CENTRO'
'207';'10';'ESPECIAS VALERIA';'CENTRO';'ACTIVO';'X CENTRO'
'91';'8';'ESPECIAS X FLORIDA - HOMAR SAUSERIO';'X FLORIDA';'ACTIVO';'X FLORIDA '
'56';'10';'EUROFIA';'X CENTRO';'ACTIVO';'X CENTRO'
'87';'8';'EVA';'X FLORIDA';'ACTIVO';'X FLORIDA '
'72';'15';'EXENI SILVIA';'JUJUY';'ACTIVO';'JUJUY'
'101';'21';'FAI - RESTAURANTE';'SAN MARTIN';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'177';'12';'FEDERICO GOLOSINAS';'PELLEGRINI';'ACTIVO';'ITUZAINGO'
'107';'6';'FELIX - PIZZERIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'80';'8';'FLAVIA - ESPECIAS';'X FLORIDA';'ACTIVO';'X FLORIDA '
'194';'10';'FLORES - MERCADO -';'X CENTRO';'ACTIVO';'X CENTRO'
'195';'10';'FLORES - VENDEDORAS DE FLORES -';'URQUIZA';'ACTIVO';'X CENTRO'
'240';'17';'FOR-BAT';'ALBERDI';'ACTIVO';'ALBERDI'
'182';'18';'FOTOCOPIADORA CLAUDIO';'SANTIAGO Y MITRE';'ACTIVO';'9 DE JULIO Y AFINES'
'74';'22';'FRAGOLA - RESTAURANTE';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'181';'13';'FRANCO -  CHOMBA';'PELLEGRINI';'ACTIVO';'MENDOZA'
'206';'11';'GABY - PIZZERIA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'117';'10';'GARCIA - VERDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'34';'6';'GAUDA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'247';'15';'GAY - JUAN CARLOS';'JUJUY';'ACTIVO';'JUJUY'
'73';'15';'GAY FERRETERIA';'JUJUY';'ACTIVO';'JUJUY'
'228';'21';'GIANNI';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'22';'19';'GLADY';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'89';'8';'GLORIA - ESPECIAS';'X FLORIDA';'ACTIVO';'X FLORIDA '
'178';'22';'GORDO PAPA';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'69';'10';'HAYDEE - POLLERIA 10';'';'ACTIVO';'X CENTRO'
'126';'23';'HECTOR';'ITUZAINGO - GELERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'103';'10';'HECTOR PIZZERIA';'CENTRO';'ACTIVO';'X CENTRO'
'213';'21';'HELADERIA / PANCHERIA';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'124';'23';'HUANCA';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'12';'6';'HUGITO';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'142';'20';'IBAÑEZ';'URQUIZA';'ACTIVO';'URQUIZA'
'149';'17';'JISIRA I';'SAN MARTIN';'ACTIVO';'ALBERDI'
'148';'22';'JISIRA II';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'109';'10';'JORGE - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'180';'10';'JORGE - HERBALIFE';'CENTRO';'ACTIVO';'X CENTRO'
'235';'18';'JOSE YARADE - CONFITERIA';'CASEROS';'ACTIVO';'9 DE JULIO Y AFINES'
'244';'6';'JOSEFINA PIZANI';'X FLORIDA P.AA';'ACTIVO';'X FLORIDA P.A.'
'150';'17';'JUAN - ARTICULOS VARIOS';'SAN MARTIN Y ALBERDI';'ACTIVO';'ALBERDI'
'104';'8';'JUAN - REGALERIA';'CENTRO';'ACTIVO';'X FLORIDA '
'132';'23';'JUEGOS FERIAS';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'57';'10';'JULIA - POLLERIA';'CENTRO';'ACTIVO';'X CENTRO'
'136';'23';'JULIO';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'170';'21';'KIOSCO DE LA PLAYA';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'187';'21';'KIOSCO DE LA PLAYA  - SANDWICHERIA';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'171';'21';'KIOSCO DE LA PLAYA -  CELLULAR';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'242';'22';'KIOSCO GUSTAVO';'SAN MARTIN 580';'ACTIVO';'SAN MARTIN'
'191';'18';'KIOSCO JORGE';'ZUVIRIA';'ACTIVO';'9 DE JULIO Y AFINES'
'156';'13';'KIOSCO LUCIANA';'MENDOZA';'ACTIVO';'MENDOZA'
'139';'20';'KRILING - PIZZERIA';'URQUIZA';'ACTIVO';'URQUIZA'
'146';'22';'LA BARRA - CONFITERIA';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'44';'20';'LA CALECITA - COTILLON';'URQUIZA';'ACTIVO';'URQUIZA'
'43';'14';'LA CALECITA - JUEGOS';'SAN MARTIN Y MENDOZA';'ACTIVO';'PELLEGRINI'
'71';'21';'LA CASTELLANA - CARNE DE CERDO';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'141';'20';'LA FONTANITA';'URQUIZA';'ACTIVO';'URQUIZA'
'140';'20';'LA GRAN BARATTA';'URQUIZA';'ACTIVO';'URQUIZA'
'168';'21';'LA PERLA - ELENA';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'63';'17';'LA POSTA - ROPA X NIÑOS';'SAN MARTIN';'ACTIVO';'ALBERDI'
'82';'6';'LA REGIONAL - PIZZERIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'196';'10';'LA ROSADITA - RESTAURANTE';'BELGRANO';'ACTIVO';'X CENTRO'
'121';'21';'LA TIA PIZZERIA';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'211';'13';'LA TRANQUILA - GUARDERIA DE MOTO';'MENDOZA';'ACTIVO';'MENDOZA'
'48';'10';'LADY - VEDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'110';'10';'LEONARDO - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'201';'21';'LIA FIAMBRERIA';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'250';'24';'LIA FIAMBRERIA - ZUVIRIA';'ZUVIRIA';'ACTIVO';'VARIAS'
'127';'23';'LOC 24 - II';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'128';'23';'LOC 25 - III';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'129';'23';'LOC 26 IV';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'212';'23';'LOC 30';'ITUZAINGO';'ACTIVO';'FERIAS VARIAS'
'26';'11';'LOC 38';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'223';'23';'LOC 51 - LADO PETER';'ITUZAINGO';'ACTIVO';'FERIAS VARIAS'
'135';'23';'LOC 53 - PIBITOS';'FERIA - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'134';'23';'LOC 69 - DINA';'FERIA - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'35';'6';'LOC. 11 - ELENA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'81';'11';'LOC. 40 -- PIZZERIA';'X ITUZAINGO P.A.';'ACTIVO';'X ITUZAINGO'
'70';'10';'LOC.35 - ESPECIAS';'CENTRO';'ACTIVO';'X CENTRO'
'86';'8';'LOLA';'X FLORIDA';'ACTIVO';'X FLORIDA '
'113';'10';'LORENZO - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'130';'23';'LORENZO 1';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'131';'23';'LORENZO 2';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'95';'19';'LUCIA - PIZZERIA';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'65';'17';'LUIS - SAND. HELADERIA';'SAN MARTIN Y BS. AS.';'ACTIVO';'ALBERDI'
'214';'21';'MAC PAPA';'SAN MARTINA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'160';'12';'MADRE DI DIEGO';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'41';'11';'MAFALDA - ANGIOLINA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'137';'23';'MAGALI';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'93';'19';'MALDONADO PIZZERIA';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'54';'10';'MARCELA CASIMIRO';'CENTRO';'ACTIVO';'X CENTRO'
'112';'10';'MARCELO - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'220';'11';'MARCELO - VICTOR - PIZZERIA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'88';'8';'MARIA';'X FLORIDA';'ACTIVO';'X FLORIDA '
'234';'8';'MARIA - PRODUCTOS VARIOS';'X FLORIDA';'ACTIVO';'X FLORIDA '
'99';'10';'MARIO - VERDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'85';'21';'MARROCK';'FLORIDA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'186';'21';'MARROCK - YANNET';'FLORIDA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'189';'24';'MAS PANCHOS -';'';'ACTIVO';'VARIAS'
'183';'24';'MAS PANCHOS -- SHOPPING';'SHOPPING';'ACTIVO';'VARIAS'
'215';'18';'MAZZONI';'MITRE 17';'ACTIVO';'9 DE JULIO Y AFINES'
'114';'10';'MIGUEL - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'100';'21';'MILLENIUM';'SAN MARTIN';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'122';'23';'MIRIAM -';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'115';'10';'MORALES - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'161';'12';'MUNDO GLOLOSINAS';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'24';'19';'MURRILO';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'60';'18';'NAHUEL - RESTAURANTE';'ITUZAINGO';'ACTIVO';'9 DE JULIO Y AFINES'
'210';'13';'NATALIA - SALCHIPAPA';'MENDOZA';'ACTIVO';'MENDOZA'
'245';'24';'NERIA RAMIREZ';'CASEROS 2250 P.A.';'ACTIVO';'VARIAS'
'241';'13';'NORMA - (IMPORTADOS)';'FLORIDA 477';'ACTIVO';'MENDOZA'
'204';'6';'NORMA PIZZERIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'233';'20';'O.J.R. IMPORTADOS';'URQUIZA';'ACTIVO';'URQUIZA'
'151';'17';'OSCAR';'ITUZAINGO Y MENDOZA';'ACTIVO';'ALBERDI'
'167';'21';'OSVALDO - KIOSCO';'ALVARADO 811';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'243';'21';'PANCHO BIRRA - ALEJANDRO';'SAN MARTIN';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'120';'21';'PARADOR - SANDWICHERIA';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'55';'10';'PATRICIA - VERDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'154';'13';'PAÑALERA FLORIDA';'FLORIDA';'ACTIVO';'MENDOZA'
'155';'13';'PAÑALERA MENDOZA';'MENDOZA';'ACTIVO';'MENDOZA'
'83';'6';'PEDRO - PIZZERIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'184';'12';'PESCADERIA LOPEZ';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'133';'23';'PETER';'ITUZAINGO - GALERIA DEL NORTE';'ACTIVO';'FERIAS VARIAS'
'27';'10';'PIZZA EMANUEL';'CENTRO';'ACTIVO';'X CENTRO'
'193';'18';'PIZZA OM';'ZUVIRIA';'ACTIVO';'9 DE JULIO Y AFINES'
'222';'15';'PIZZA Y CHAMPAÑE - - FABIAN';'JUJUY';'ACTIVO';'JUJUY'
'28';'10';'PIZZAERIA CENTRO';'CENTRO';'ACTIVO';'X CENTRO'
'229';'15';'PLAYA - URQUIZA Y JUJUY';'URQUIZA Y JUJUY';'ACTIVO';'JUJUY'
'59';'10';'POGGIO - VERDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'249';'10';'POLLERIA 10 - HAYDE';'CENTRO';'ACTIVO';'X CENTRO'
'68';'10';'POLLERIA 9 - RAMON';'CENTRO';'ACTIVO';'X CENTRO'
'102';'10';'POLLERIA ESTELA';'CENTRO';'ACTIVO';'X CENTRO'
'145';'22';'POSTIGO - PET SHOP';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'111';'10';'PUPPY - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'49';'10';'QUESERIA - MORALES';'CENTRO';'ACTIVO';'X CENTRO'
'219';'10';'QUESERIA X URQUIZA';'X CENTRO';'ACTIVO';'X CENTRO'
'246';'24';'QUIERO MAS';'LA RIOJA Y GENERAL PAZ';'ACTIVO';'VARIAS'
'108';'10';'RACEDO - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'32';'21';'RAMIRO';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'58';'10';'RAMON - VERDULERIA';'CENTRO';'ACTIVO';'X CENTRO'
'152';'17';'REGALERIA ALBERDI';'ALBERDI 325';'ACTIVO';'ALBERDI'
'158';'13';'RENE';'FLORIDA';'ACTIVO';'MENDOZA'
'25';'10';'REVECCA';'CENTRO';'ACTIVO';'X CENTRO'
'164';'13';'ROMINA RESTAURANTE';'MENDOZA';'ACTIVO';'MENDOZA'
'40';'11';'ROMULO';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'30';'20';'ROYAL RESTAURANTE';'URQUIZA';'ACTIVO';'URQUIZA'
'66';'21';'SAETA';'SAN MARTIN';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'18';'18';'SAND. GLORIA';'ESPAÑA 776';'ACTIVO';'9 DE JULIO Y AFINES'
'197';'11';'SANDRA - LOC. 41-42';'X ITUZANGO';'ACTIVO';'X ITUZAINGO'
'153';'17';'SANDWICHWERIA ALBERDI';'ALBERDI 333';'ACTIVO';'ALBERDI'
'216';'6';'SANTA RITA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'159';'13';'SANTERIA FLORIDA';'FLORIDA';'ACTIVO';'MENDOZA'
'9';'2';'SANTIAGO RUSSO';'SAN MARTIN Y ALBERDI';'ACTIVO';'3 DAVID'
'9';'3';'SANTIAGO RUSSO';'SAN MARTIN Y ALBERDI';'ACTIVO';'4 ANITA'
'9';'1';'SANTIAGO RUSSO';'SAN MARTIN Y ALBERDI';'ACTIVO';'5 EXENI'
'52';'10';'SANTINO - OLIVERA LUIS';'CENTRO';'ACTIVO';'X CENTRO'
'17';'12';'SARA ALMACEN';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'36';'6';'SARA PIZZERIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'138';'23';'SAVEDRA';'ITUZAINGO';'ACTIVO';'FERIAS VARIAS'
'162';'12';'SERGIO - IMPORTADOS';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'29';'10';'SERGIO CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'205';'11';'SILVIA PIZZERIA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'15';'6';'SOL';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'37';'19';'SOTO - INES';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'97';'19';'SOTO - INES';'';'ACTIVO';'X PATIO DE COMIDA'
'38';'11';'SOTO - MIRTHA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'96';'19';'SOTO - NOEMI';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'39';'11';'SOTO - PATRICIA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'42';'11';'SOTO - SUSANNA';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'237';'20';'TECNO CENTRO ( LA GRAN BARATTA )';'ALVARADO';'ACTIVO';'URQUIZA'
'200';'10';'TELECENTRO MONICA';'X CENTRO';'ACTIVO';'X CENTRO'
'185';'21';'TELECENTRO NORMA';'FLORIDA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'199';'10';'TELEFONICA';'X CENTRO';'ACTIVO';'X CENTRO'
'202';'21';'TIME - RELOQUERIA';'SAN MARTIN';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'217';'12';'TODO BELLO';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'77';'21';'TU PARADA - CONFITERIA FERNANDO';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'76';'11';'TU PARADA - MERCADO S. MIGUEL';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'75';'21';'TU PARADA - SERGIO';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'31';'21';'VICTOR MORALES SANDWICHERIA';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'224';'22';'VIRGEN DE URJUPIÑA';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'203';'21';'WALBERTO';'FLORIDA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'13';'6';'YANNET';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'172';'23';'ZULMA';'FLORIDA - FERIA';'ACTIVO';'FERIAS VARIAS'
'62';'20';'ZUMO - 1  CASA MADRE';'ALBERDI 177';'ACTIVO';'URQUIZA'
'218';'12';'ZUMO 2 (VERO)';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
